user_id,item_id,rating
1077,135085,2
1077,135038,2
1077,132825,2
1077,135060,1
1068,135104,1
1068,132740,0
1068,132663,1
1068,132732,0
1068,132630,1
1067,132584,2
1067,132733,1
1067,132732,1
1067,132630,1
1067,135104,0
1067,132560,1
1103,132584,1
1103,132732,0
1103,132630,1
1103,132613,2
1103,132667,1
1103,135104,1
1103,132663,1
1103,132733,2
1107,132660,2
1107,132584,2
1107,132733,2
1044,135088,2
1044,132583,1
1070,132608,2
1070,132609,1
1070,132613,1
1031,132663,0
1031,132665,0
1031,132668,0
1082,132630,1
1023,132715,0
1023,132717,0
1082,132613,0
1082,132594,0
1082,132608,0
1082,132609,0
1082,132663,0
1082,132560,0
1060,132564,2
1060,132717,2
1060,132733,2
1060,132740,1
1015,135071,0
1123,132733,1
1123,132608,1
1123,135104,2
1123,132584,1
1123,132667,1
1123,132740,1
1123,132613,1
1123,132594,1
1021,132740,2
1026,132626,2
1021,132668,2
1021,132715,2
1044,134987,0
1083,135034,2
1083,132723,1
1083,135046,2
1108,135075,2
1108,132572,1
1108,135074,2
1108,135028,1
1108,135085,1
1108,135032,2
1108,135086,1
1108,132723,2
1108,135046,1
1108,135058,1
1012,135001,1
1012,134983,2
1012,134996,2
1093,135019,2
1093,134996,2
1093,135001,2
1093,134976,2
1093,134999,2
1030,135018,2
1093,135013,2
1030,134986,2
1012,134986,2
1012,135018,2
1030,135088,1
1093,132767,2
1030,135016,0
1093,135011,1
1030,132767,0
1030,135019,0
1030,135109,0
1030,134996,0
1066,135011,1
1066,134999,1
1127,134975,2
1127,135021,2
1127,134987,2
1127,134996,2
1017,132768,1
1066,135019,2
1017,134975,2
1017,134983,0
1066,132767,1
1100,135021,2
1100,134996,2
1066,135013,1
1100,135000,2
1100,135001,2
1100,132768,2
1100,134976,2
1133,134983,1
1133,134986,2
1133,132766,1
1133,132767,0
1133,135021,2
1133,135001,2
1133,134975,1
1133,134992,1
1133,135019,1
1118,134987,0
1072,135016,1
1072,132773,2
1072,135088,0
1026,132561,1
1026,132706,0
1026,132654,0
1026,132665,2
1023,132740,0
1023,132733,2
